method_family,asset,frequency,regime_method,regime_label,count,mean,median
quantile,ETHUSDT,1h,quantile_2_rolling_240,low_vol,340,77.31764705882352,20.0
quantile,ETHUSDT,1h,quantile_2_rolling_30,high_vol,339,77.54867256637168,41.0
quantile,ETHUSDT,1h,quantile_2_rolling_30,low_vol,340,77.31764705882352,20.0
quantile,ETHUSDT,1h,quantile_2_rolling_60,high_vol,339,77.54867256637168,41.0
quantile,ETHUSDT,1h,quantile_2_rolling_60,low_vol,340,77.31764705882352,20.0
quantile,ETHUSDT,1h,quantile_3_rolling_240,high_vol,327,53.596330275229356,16.0
quantile,ETHUSDT,1h,quantile_3_rolling_240,low_vol,283,61.92932862190813,21.0
quantile,ETHUSDT,1h,quantile_3_rolling_240,medium_vol,601,29.15973377703827,16.0
quantile,ETHUSDT,1h,quantile_3_rolling_30,high_vol,327,53.596330275229356,16.0
quantile,ETHUSDT,1h,quantile_3_rolling_30,low_vol,283,61.92932862190813,21.0
quantile,ETHUSDT,1h,quantile_3_rolling_30,medium_vol,601,29.15973377703827,16.0
quantile,ETHUSDT,1h,quantile_3_rolling_60,high_vol,327,53.596330275229356,16.0
quantile,ETHUSDT,1h,quantile_3_rolling_60,low_vol,283,61.92932862190813,21.0
quantile,ETHUSDT,1h,quantile_3_rolling_60,medium_vol,601,29.15973377703827,16.0
quantile,ETHUSDT,1h,quantile_4_rolling_240,extreme_vol,272,48.32720588235294,16.5
quantile,ETHUSDT,1h,quantile_4_rolling_240,high_vol,594,22.127946127946128,13.0
quantile,ETHUSDT,1h,quantile_4_rolling_240,low_vol,279,47.111111111111114,13.0
quantile,ETHUSDT,1h,quantile_4_rolling_240,medium_vol,593,22.165261382799326,14.0
quantile,ETHUSDT,1h,quantile_4_rolling_30,extreme_vol,272,48.32720588235294,16.5
quantile,ETHUSDT,1h,quantile_4_rolling_30,high_vol,594,22.127946127946128,13.0
quantile,ETHUSDT,1h,quantile_4_rolling_30,low_vol,279,47.111111111111114,13.0
quantile,ETHUSDT,1h,quantile_4_rolling_30,medium_vol,593,22.165261382799326,14.0
quantile,ETHUSDT,1h,quantile_4_rolling_60,extreme_vol,272,48.32720588235294,16.5
quantile,ETHUSDT,1h,quantile_4_rolling_60,high_vol,594,22.127946127946128,13.0
quantile,ETHUSDT,1h,quantile_4_rolling_60,low_vol,279,47.111111111111114,13.0
quantile,ETHUSDT,1h,quantile_4_rolling_60,medium_vol,593,22.165261382799326,14.0
quantile,ETHUSDT,1m,quantile_2_rolling_240,high_vol,14361,109.81665622171158,21.0
quantile,ETHUSDT,1m,quantile_2_rolling_240,low_vol,14362,109.80900988720234,13.0
