asset,frequency,hmm_method,quantile_method,observations,adjusted_rand_index,normalized_mutual_information,sklearn_available
SP500,1d,hmm_4_states,quantile_4_rolling_30,4024,0.05202287043056412,0.08013297990991551,True
SP500,1d,hmm_4_states,quantile_4_rolling_60,4024,0.05202287043056412,0.08013297990991551,True
VIX,1d,hmm_4_states,quantile_2_rolling_240,4024,0.0188916392612138,0.02450367596422654,True
VIX,1d,hmm_4_states,quantile_2_rolling_30,4024,0.0188916392612138,0.02450367596422654,True
VIX,1d,hmm_4_states,quantile_2_rolling_60,4024,0.0188916392612138,0.02450367596422654,True
VIX,1d,hmm_4_states,quantile_3_rolling_240,4024,0.016985186299592493,0.025239244875740502,True
VIX,1d,hmm_4_states,quantile_3_rolling_30,4024,0.016985186299592493,0.025239244875740502,True
VIX,1d,hmm_4_states,quantile_3_rolling_60,4024,0.016985186299592493,0.025239244875740502,True
VIX,1d,hmm_4_states,quantile_4_rolling_240,4024,0.013508979139972118,0.022934786993991388,True
VIX,1d,hmm_4_states,quantile_4_rolling_30,4024,0.013508979139972118,0.022934786993991388,True
VIX,1d,hmm_4_states,quantile_4_rolling_60,4024,0.013508979139972118,0.022934786993991388,True
