asset,frequency,mode,regime_method,window_length,profile_type,runtime_seconds
ETHUSDT,1h,agnostic,none,48,multivariate,4853.536693798378
ETHUSDT,1h,agnostic,none,48,univariate,20.400078957900405
ETHUSDT,1h,agnostic,none,72,multivariate,4852.443385841325
ETHUSDT,1h,agnostic,none,72,univariate,20.512279998511076
ETHUSDT,1h,agnostic,none,168,multivariate,4825.474599050358
ETHUSDT,1h,agnostic,none,168,univariate,23.52218985557556
ETHUSDT,1h,agnostic,none,336,multivariate,4837.982834940776
ETHUSDT,1h,agnostic,none,336,univariate,23.121230164542794
ETHUSDT,1h,conditioned,quantile_2_rolling_240,24,multivariate,56.47102463059127
ETHUSDT,1h,conditioned,quantile_2_rolling_240,24,univariate,3.6340174823999405
ETHUSDT,1h,conditioned,quantile_2_rolling_240,48,multivariate,50.10870128124952
ETHUSDT,1h,conditioned,quantile_2_rolling_240,48,univariate,3.033338046632707
ETHUSDT,1h,conditioned,quantile_2_rolling_240,72,multivariate,43.06128602381796
ETHUSDT,1h,conditioned,quantile_2_rolling_240,72,univariate,2.5015803957358003
ETHUSDT,1h,conditioned,quantile_2_rolling_240,168,multivariate,16.722089293412864
ETHUSDT,1h,conditioned,quantile_2_rolling_240,168,univariate,1.0443387171253562
ETHUSDT,1h,conditioned,quantile_2_rolling_240,336,multivariate,6.068099371157587
ETHUSDT,1h,conditioned,quantile_2_rolling_240,336,univariate,0.38308454491198063
ETHUSDT,1h,conditioned,quantile_2_rolling_30,24,multivariate,56.591231394559145
ETHUSDT,1h,conditioned,quantile_2_rolling_30,24,univariate,3.5948540829122066
ETHUSDT,1h,conditioned,quantile_2_rolling_30,48,multivariate,50.15882688481361
ETHUSDT,1h,conditioned,quantile_2_rolling_30,48,univariate,3.030307891778648
ETHUSDT,1h,conditioned,quantile_2_rolling_30,72,multivariate,43.16375620290637
ETHUSDT,1h,conditioned,quantile_2_rolling_30,72,univariate,2.5064663477241993
ETHUSDT,1h,conditioned,quantile_2_rolling_30,168,multivariate,16.677676423452795
ETHUSDT,1h,conditioned,quantile_2_rolling_30,168,univariate,1.0437801647931337
ETHUSDT,1h,conditioned,quantile_2_rolling_30,336,multivariate,6.085216020233929
ETHUSDT,1h,conditioned,quantile_2_rolling_30,336,univariate,0.38393273763358593
ETHUSDT,1h,conditioned,quantile_2_rolling_60,24,multivariate,57.034903867170215
ETHUSDT,1h,conditioned,quantile_2_rolling_60,24,univariate,3.6473478469997644
ETHUSDT,1h,conditioned,quantile_2_rolling_60,48,multivariate,50.05051859654486
ETHUSDT,1h,conditioned,quantile_2_rolling_60,48,univariate,3.108897965401411
ETHUSDT,1h,conditioned,quantile_2_rolling_60,72,multivariate,43.07558430638164
ETHUSDT,1h,conditioned,quantile_2_rolling_60,72,univariate,2.554438389837742
ETHUSDT,1h,conditioned,quantile_2_rolling_60,168,multivariate,16.709045827388763
ETHUSDT,1h,conditioned,quantile_2_rolling_60,168,univariate,1.0627971570938826
ETHUSDT,1h,conditioned,quantile_2_rolling_60,336,multivariate,6.104974342510104
ETHUSDT,1h,conditioned,quantile_2_rolling_60,336,univariate,0.38925235997885466
ETHUSDT,1h,conditioned,quantile_3_rolling_240,24,multivariate,17.305696858093143
ETHUSDT,1h,conditioned,quantile_3_rolling_240,24,univariate,1.2922884058207273
ETHUSDT,1h,conditioned,quantile_3_rolling_240,48,multivariate,15.460374229587615
ETHUSDT,1h,conditioned,quantile_3_rolling_240,48,univariate,1.1064132750034332
ETHUSDT,1h,conditioned,quantile_3_rolling_240,72,multivariate,10.408960128203034
ETHUSDT,1h,conditioned,quantile_3_rolling_240,72,univariate,0.7713609514757991
ETHUSDT,1h,conditioned,quantile_3_rolling_240,168,multivariate,3.289871103130281
ETHUSDT,1h,conditioned,quantile_3_rolling_240,168,univariate,0.2809906546026468
ETHUSDT,1h,conditioned,quantile_3_rolling_240,336,multivariate,0.8482726830989122
ETHUSDT,1h,conditioned,quantile_3_rolling_240,336,univariate,0.08950524032115936
ETHUSDT,1h,conditioned,quantile_3_rolling_30,24,multivariate,17.306474670767784
ETHUSDT,1h,conditioned,quantile_3_rolling_30,24,univariate,1.2800174299627542
ETHUSDT,1h,conditioned,quantile_3_rolling_30,48,multivariate,15.49776468705386
ETHUSDT,1h,conditioned,quantile_3_rolling_30,48,univariate,1.1024756636470556
ETHUSDT,1h,conditioned,quantile_3_rolling_30,72,multivariate,10.410303292796016
ETHUSDT,1h,conditioned,quantile_3_rolling_30,72,univariate,0.7711468506604433
ETHUSDT,1h,conditioned,quantile_3_rolling_30,168,multivariate,3.296852556988597
ETHUSDT,1h,conditioned,quantile_3_rolling_30,168,univariate,0.27917863707989454
ETHUSDT,1h,conditioned,quantile_3_rolling_30,336,multivariate,0.8488584915176034
ETHUSDT,1h,conditioned,quantile_3_rolling_30,336,univariate,0.08913474436849356
ETHUSDT,1h,conditioned,quantile_3_rolling_60,24,multivariate,17.455775821581483
ETHUSDT,1h,conditioned,quantile_3_rolling_60,24,univariate,1.2904605828225613
ETHUSDT,1h,conditioned,quantile_3_rolling_60,48,multivariate,15.595179664902389
ETHUSDT,1h,conditioned,quantile_3_rolling_60,48,univariate,1.1054553696885705
